token	mint	leg	sig	ts	fee_lamports	tip_lamports	tip_relay	wsol_delta	tok_delta	pool_sol_pre	pool_sol_post	pool_tok_pre	capture_pct	sold_over_base
USWR	6Rrm9FX3F8epYPK55ojsqHBQRng2mtB3pFE9R1pVGzMB	BUY	4vPErHzUbg	1781338867	9600	0	-	-20000	8415597	345500000000	345500020000	145816924891423	-	-
USWR	6Rrm9FX3F8epYPK55ojsqHBQRng2mtB3pFE9R1pVGzMB	SELL	5mEeqRHpdM	1781446290	320000001	4000000000	nozomi	37772415517	-4035	37810000011	37584494	4	99.90	1008.8
RICO	gtdwpNQCSuWBydov2uKqfEJTMJXyGtEUiJSBqbiNCWw	SELL	ajAeRdQPkL	1781545431	326399901	0	-	27907138873	-481051	27934894144	27755271	477	99.90	1008.5
TripleP	B5QQ7YPfFa48qaKNuV6i1yNMPhJA3FXygScmAxMw5gcv	BUY2	2VFXEgciZ9	1780897075	9600	0	-	-20000	2361606	1880518	1900518	225089172	-	-
TripleP	B5QQ7YPfFa48qaKNuV6i1yNMPhJA3FXygScmAxMw5gcv	SELL	4yoaKJVVjE	1781173957	320000001	4000000000	nozomi	14872179312	-38008000	15021444218	149264906	380327	99.01	99.9
