sig	mint	ts	side	fee	nat_d	wsol_d	tok_d	dec	pool	base_pre	base_post	quote_pre	quote_post	prog	nonce	rent_d	tip
JargHSD9wdMC2JTKpCNaVaxZhhKT1vDbXywjX2T4e2Yq8zttuUhRj5ojMefyQ7k8UkRoAqFcXR3wr7GsXJBizNN	2kJj2ftLUj6oK3Ao6oLBs5ViU26gENaYW3trPfhBBAGS	1787907197	BUY	9600	-2083680	-20000	40100096721	9	8Cx4KiWpZXTRzJWVWuDySAkZ4CuVvPrmJMfGeV84ftrt	998430439733857700	998430399613650599	496475165734	496475185734	pumpswap	0	2074080	0
5VqxCqwaEhnTHG45NkBGYEsLgiX1ZYP5c5c9egyGrZ4ZvkU5wkkmUQCSB4njtXQ72d7G5HW9Xfg139RSv7KLy2fT	2kJj2ftLUj6oK3Ao6oLBs5ViU26gENaYW3trPfhBBAGS	1787907329	BUY	9600	-9600	-20000	27747709556407	9	8Cx4KiWpZXTRzJWVWuDySAkZ4CuVvPrmJMfGeV84ftrt	43843885907410	16082260749420	11507	31507	pumpswap	0	0	0
2y7LHLLcFL6yhNjotHjV2UTw55i6UjQerde6FQwRVzRrPpjRAs8Zp3PKgBxnJ5uRFVtbcJ4HcMguBtiA4WiD73tf	2kJj2ftLUj6oK3Ao6oLBs5ViU26gENaYW3trPfhBBAGS	1787907340	SELL	5525	-23005525	49686106	-23483277850593	9	8Cx4KiWpZXTRzJWVWuDySAkZ4CuVvPrmJMfGeV84ftrt	152125992882	23623697324107	50008942	322836	pumpswap	1	0	23000000
5mkk8uDHYe4DRJ4e9Yx7Kr9CR3sRffYgEhBJ8qF1xaJPuj4R9BJnBSXS82p2ygrKii5DfKj8Y9HjXeB3BpqERyNU	2kJj2ftLUj6oK3Ao6oLBs5ViU26gENaYW3trPfhBBAGS	1787907340	BUY	9600	-9600	-20000	1373999593515	9	8Cx4KiWpZXTRzJWVWuDySAkZ4CuVvPrmJMfGeV84ftrt	23623697324107	22249008663594	322836	342836	pumpswap	0	0	0
2Zs4oo8fwK8DESJKJELzLYoryChK3dVeNUwGENxN7GjqiZUTtfidcD5jm3ZWoowMoRqsUhBPC1QSuakfGz1oA2NV	2kJj2ftLUj6oK3Ao6oLBs5ViU26gENaYW3trPfhBBAGS	1787957493	BUY	9600	-9600	-20000	28569114324489	9	8Cx4KiWpZXTRzJWVWuDySAkZ4CuVvPrmJMfGeV84ftrt	28676570872852	93129008581	15	20015	pumpswap	0	0	0
3j4RnwuRFzrvyPC8TRT3R7rnMUJo8QWkS1twTnUVK8cfKqXJ6B1b3uecRcYNDbmFYFjEAAuRfxQ7E8frtjJJhLsR	DFeVPSHbYT2SXBiuQFRtuTs1oU2x8BzYPmigQZsYBAGS	1787905048	BUY	9600	-2083680	-20000	144140506	9	JBeZvL1hkL1tLcbwJJrzgrJTo3Xa6PnUCmWxZ2XDFXGF	2970480062498717	2970479918285923	410927992100	410928012100	pumpswap	0	2074080	0
4yN9arUUJq4tXYTYfisyUAM2YzuDLzLjhetKy5JktP6gkca4rzw1StvzGoV9TkCVWexY2wSbgQH4KZgwXZLyKfsm	DFeVPSHbYT2SXBiuQFRtuTs1oU2x8BzYPmigQZsYBAGS	1787905349	SELL	5525	-10540599	22902334	-143553086	9	JBeZvL1hkL1tLcbwJJrzgrJTo3Xa6PnUCmWxZ2XDFXGF	46542736	190024260	30349999	7447665	pumpswap	1	0	10535074
2s4C8qHBwjP41n5FJEXfDrkzcR952NugV7M1MErGvCpYhJWjDc49wB56Y2YsZmPeaJaiLhuAYUV6pVAMC1WFmSK9	DFeVPSHbYT2SXBiuQFRtuTs1oU2x8BzYPmigQZsYBAGS	1787905349	BUY	9600	-9600	-20000	507397	9	JBeZvL1hkL1tLcbwJJrzgrJTo3Xa6PnUCmWxZ2XDFXGF	190024260	189516608	7447665	7467665	pumpswap	0	0	0
5r1M4XzhjajSwHsL2h3iPEEV3FJWng9tB5L4TAmsH1GhBDaAQ6zYQCu6CfVBU3jh9PkmZ7J3hS2cockfaJAbhmhG	CC9PaSpaD5d5bsKSELr68ywPVs8nBsUzMaD52qx5hwA4	1787899496	BUY	9600	-2083680	-20000	198953774	6	F8B7BhnAUFr3HvG6wiS8qhyzXSKQAGdQBmhJz3if72xu	887908753792562	887908554739011	88990000000	88990020000	pumpswap	0	2074080	0
2FdGukQ7wMnba9zPSNXXiXtvcUDJHrmhUNEBstmL4VZbFXnh7KWgCjang4MifwM8ig5JgVLz8qJ2yCkyU57xT2Pg	CC9PaSpaD5d5bsKSELr68ywPVs8nBsUzMaD52qx5hwA4	1787903745	SELL	5525	-38338858	83249992	-6012	6	F8B7BhnAUFr3HvG6wiS8qhyzXSKQAGdQBmhJz3if72xu	6	6015	83333340	83348	pumpswap	1	0	38333333
4byXafwQpKLTiFNeUn1MeDTWQvGQEmwmqpzywju3XaUam9Qyd1gygvxsZzBmHfUwqLG9uDWj9BDnSnydowVmkhTG	CC9PaSpaD5d5bsKSELr68ywPVs8nBsUzMaD52qx5hwA4	1787903772	BUY	9600	-9600	-20000	12982430129	6	F8B7BhnAUFr3HvG6wiS8qhyzXSKQAGdQBmhJz3if72xu	13022145689	33204812	1	20001	pumpswap	0	0	0
5w5VWVPbbo5oVRYC9NomopGLktPMZYMHA1VTbNQvGhhHGW5Px5AZFuenGFANPYk9Q7E5qcwXfthyTEtrm7fkPgmz	B5zkJ2at9h8mCo4WQeQv7ULNLojQDb8eJ7MiagoZAHsx	1787893856	SELL	1194001	-1691501	9940049	-31277113	6	Hg93mUeGSnoPePEntSs4maWmJfvzrvgo5PiuxbZ9qq3z	109647	31371168	9975001	34952	pumpswap	1	0	497500
4Kg6JbXVwLgG8yGFyUiEn4EKm7GrMSwiFshgrrRA2XqUSdb7ftZbpMr1axvRtdQ1gqq3UM8oNJnW1xStk6idutKC	B5zkJ2at9h8mCo4WQeQv7ULNLojQDb8eJ7MiagoZAHsx	1787893808	BUY	9600	-2083680	-20000	4400739	6	Hg93mUeGSnoPePEntSs4maWmJfvzrvgo5PiuxbZ9qq3z	33638958141977	33638953739031	152420000000	152420020000	pumpswap	0	2074080	0
oz3tZbmcn65KpqfDqbcwxkwmG3wMcEtgBMufCMYTqeWXnd6mMFSvm1eqB5teLf1a3d8DRpzre7AJRFiTXX4k5iC	B5zkJ2at9h8mCo4WQeQv7ULNLojQDb8eJ7MiagoZAHsx	1787893839	BUY	9600	-9600	-20000	10710394497	6	Hg93mUeGSnoPePEntSs4maWmJfvzrvgo5PiuxbZ9qq3z	10743159497	27393688	1	20001	pumpswap	0	0	0
3KtwMzDoP9fX8a3ZWdAdXvy8AgTqUKswqn5dxusEjyBtoyQ78buh2nmSKi5JNj8EoJntn3NBKtoz1fhcg747hW33	2K1wRQNoTuvMuK2NXSJZb1b3dr6bA1vLXa5Gm4e2xAqV	1787885750	BUY	9600	-2083680	-20000	247237958	6	DxW5LHe2zZwu13e6fp3ThGzFUFbn7UJ7HLwc2FZFh9MV	855413828091028	855413580729079	68990000000	68990020000	pumpswap	0	2074080	0
5SjXYiyz7bxsH3xxoSKVntRkxLGbQma5jCXGifojdpSneiTHeJLiC875GvbUk25ggUfxU79Jp71Up85gF7ySua1v	2K1wRQNoTuvMuK2NXSJZb1b3dr6bA1vLXa5Gm4e2xAqV	1787886124	SELL	5525	-30248685	65680253	-26052	6	DxW5LHe2zZwu13e6fp3ThGzFUFbn7UJ7HLwc2FZFh9MV	26	26065	65746002	65749	pumpswap	1	0	30243160
UqfEV8ran4dRdL4qWEBWM2XRwjwwEQcup9a6oehTwHNBYRC9K7YH364U2krt6jjfoKzMKsSZY1taAHGT6B6fs6T	2K1wRQNoTuvMuK2NXSJZb1b3dr6bA1vLXa5Gm4e2xAqV	1787886733	BUY	9600	-9600	-20000	109934928797	6	DxW5LHe2zZwu13e6fp3ThGzFUFbn7UJ7HLwc2FZFh9MV	110271239262	281177602	1	20001	pumpswap	0	0	0
44BfjyaArGVW2Q5Hp6N4nxJCGP6VH46qBDTTTHNpJSbmk3umzVussukkazGgy9ttmjVQ52k4mg8akpsSZkk7SKCP	8Fv68mh4CG5R2iZS7r6se3aWobY1Cf7o4348WzsTZqN8	1787876058	BUY	9600	-2048880	-20000	18617993	6	8qEFHPFHmQ2PCoERD525hud6xHrFoC5m7sS1uLaSUb9B	126040999060723	126040980433392	134990751056	134990771056	pumpswap	0	2039280	0
2wZawxkYA5AvyHZr4FeBzd9twDfJWMkg95QHRdL6BexDrc8Sj5ba5wBPokrw1zLMkZx2JfRUYA8Q3x6bcuZUoh5R	8Fv68mh4CG5R2iZS7r6se3aWobY1Cf7o4348WzsTZqN8	1787879578	SELL	238743	-1432448	23878853	-18617993	6	HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC	50505141	69123134	88853110	64974257	meteora-damm2	1	0	1193705
4h8WT3md6royMJUx1TtCnuYDefdQNQmsqiNapTQEKG2tPN9kQ3HabeamjBzGKo5q6qBHtwkTEEa3MmU2tokX89K2	FiQxJN7yHuSYM7sqYTd6V5Q6NEPMzAPp9GggBbAPUten	1787878716	SELL	26032076	-36783514	173397652	-420833731	6	BLUgv9bvTdi1uXggheN8sswzjPaxGqCPZ8e4dfH5vSoC	422269	421046212	173572164	174512	pumpswap	1	2074080	8677358
58p3ka9uVNEHuHQw5cTe3g6fVrL98Wc6hdmcw1pd3ahT8zyC8YHAg3PS5wS6AqBJmXtRr74niXbWTLL9WSoBmhwi	FiQxJN7yHuSYM7sqYTd6V5Q6NEPMzAPp9GggBbAPUten	1787837298	BUY	9600	-2083680	-20000	280370034	6	BLUgv9bvTdi1uXggheN8sswzjPaxGqCPZ8e4dfH5vSoC	955986174436771	955985893926130	67989999999	67990019999	pumpswap	0	2074080	0
5ZAPwUphmzXXNm8WrdBtqcuprg3qgnvNuvgdmWJzSdprRL5XW5vBKju4nn58mY1r7y6gKm2nSmhWeVayrNv9Fxb6	FiQxJN7yHuSYM7sqYTd6V5Q6NEPMzAPp9GggBbAPUten	1787839753	BUY	9600	-9600	-20000	78013479348	6	BLUgv9bvTdi1uXggheN8sswzjPaxGqCPZ8e4dfH5vSoC	78252136434	199532973	1	20001	pumpswap	0	0	0
