sig	mint	ts	side	fee	nat_d	wsol_d	tok_d	dec	pool	base_pre	base_post	quote_pre	quote_post	prog	nonce	rent_d	tip
3DQU9vwMgRrK8UZYMzomYwnWtXRmTNVmTn8PyNC89px9HjhM9aAf5MzNMgnyfhggqRKB79FwXLhAGqJt1dShfACt	CtY7VfrUaHUA7h3sgjjVSmUw5kVEoPwyCB1Rv5ESgjgP	1787847345	SELL	19023023	-26339569	73092298	-18036	6	EUnHgJeDcH7NeDPoFN8m6tba9c4hKhhe4QVjExAEEz42	18	18045	73165468	73170	pumpswap	1	0	7316546
2k1N9aBh684sXrTbzLXHF6vXD1r7jZdaFh2Zgo44aGCRaTCAbA2hGjxb731bqbmLzQQiT3jnay118qL1GdbC4K3k	GTvnzEnY7xyRKsG82M4CeU143VHKhgme2kPyLwRHtrBz	1787844803	BUY	9600	-2083680	-20000	229508924	6	4jAJ2YGg737DXjF5mARMidoVUPzn1P8uiFvRUkhfpw1T	989070369680972	989070140056948	85931554003	85931574003	pumpswap	0	2074080	0
4k6CGkEVgPm2PZXh3EUKfFdFzwpX2yB4ZiqstAPB4CVEyg3wdjwvMHKfHLqNE6usAAHWaygTZAvNFgD3FSQjsH8e	GTvnzEnY7xyRKsG82M4CeU143VHKhgme2kPyLwRHtrBz	1787845534	SELL	51042186	-68056247	339940928	-18036	6	4jAJ2YGg737DXjF5mARMidoVUPzn1P8uiFvRUkhfpw1T	18	18045	340281229	340301	pumpswap	1	0	17014061
46mTf2pmRvcNa3x3rzzv9mqJdCojhL6qNmCHfYWNjMi1HVAMEeuZCDAuHwjf1EA1kyoBJs4UFD1KL71epruBrtnc	GTvnzEnY7xyRKsG82M4CeU143VHKhgme2kPyLwRHtrBz	1787845568	SELL	12865353	-16885775	80328027	-23091	6	4jAJ2YGg737DXjF5mARMidoVUPzn1P8uiFvRUkhfpw1T	122	23201	80753745	425718	pumpswap	1	0	4020422
2cPmCRoWfCigsfwfVFsY3tmW8pE9Sc2WhC88ShQFtgvtGmRYT7QcPfAabscSWiV5MSmGQWqx1FiWqKSTRKdDcE5M	GTvnzEnY7xyRKsG82M4CeU143VHKhgme2kPyLwRHtrBz	1787845621	BUY	9600	-9600	-20000	626766392304	6	4jAJ2YGg737DXjF5mARMidoVUPzn1P8uiFvRUkhfpw1T	628453842691	1602477176	1	20001	pumpswap	0	0	0
tHBwgPVJduqH7tSWkp9ywZtHjKpUFAEYVe1srScpD9Mk7hXYfk4AP6SW1X7kBEK662i4JzbxmtX177gK6bZ5SZZ	HoNNWj6SViNTQYTUMvTrS9Sh7cXN1e83Z1gTvwErw37E	1787843344	BUY	9600	-2083680	-20000	38912264	6	HnbqibNG1RRUYHRLqksd8NJ3fWLHPip8X4jbEhAdH6Q	192961165048544	192961126116765	98880000000	98880020000	pumpswap	0	2074080	0
3KBGrGv5YmvSn5YL5X1UWt6VtLuM9ie5XLmsNf1NpcUiHmWb2LhQuJNetEGTxgpP75WPECThBkgGj2JwXujKvQhH	HoNNWj6SViNTQYTUMvTrS9Sh7cXN1e83Z1gTvwErw37E	1787843900	SELL	33665407	-44887208	224211580	-10020	6	HnbqibNG1RRUYHRLqksd8NJ3fWLHPip8X4jbEhAdH6Q	10	10025	224436039	224459	pumpswap	1	0	11221801
wCAA4v8k4VUQw9k376MXA8cM3a5j5F2YSyFDaJzxWdXkaEzc28FNGVpd31CV1voKhdSNDCtyGAG9Ge9SyMZmDC2	4d7BehtH7NdNpkVie8KYQjDUPLwBeQQaffc73vLuZ4PQ	1787832180	BUY	9600	-2083680	-20000	234594030	6	EhQwoMB8brpG6KfrKWcvq6j282oXsMFpazff4Loh3PTW	999953702234025	999953467522345	84993944892	84993964892	pumpswap	0	2074080	0
2D9KMBcuqdqD2CVuWzLuxF7z86xn1UNNcijDs5HaEiUXvQuR79wSUNc74JhKnineZwaqgysP2fTrWNVxJDAjjM9W	4d7BehtH7NdNpkVie8KYQjDUPLwBeQQaffc73vLuZ4PQ	1787833350	SELL	76117400	-76117400	497002474	-18036	6	EhQwoMB8brpG6KfrKWcvq6j282oXsMFpazff4Loh3PTW	18	18045	497500002	497528	pumpswap	1	0	0
52Gj7m65QM4vJh1BSQ3eWVsTXdU2gHaBCouMpa59F58VzjgwBPEkp43YZAohp8sXL8wZfjC2NfA4bBwBK2hTiDPH	C6WhqN9G8FhuVNAmKNpzA8T6JTzhVHxMGu7eEmVYpqEh	1787830434	BUY	9600	-2083680	-20000	231864314	6	GdvnV9iL4zrZNT9H1of2EhBV9LTtHtWTBbnnq5u9bnrX	992840416170532	992840184189936	85382837671	85382857671	pumpswap	0	2074080	0
